City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sur,OM,2021-10-11 21:55:01,22.5667,59.5289,81.99,48,0,4.23
1,Aklavik,CA,2021-10-11 21:55:02,68.2191,-135.0107,29.23,78,96,10.74
2,Guerrero Negro,MX,2021-10-11 21:55:03,27.9769,-114.0611,73.94,60,0,15.64
3,Punta Arenas,CL,2021-10-11 21:55:04,-53.15,-70.9167,53.71,50,40,26.46
4,Severo-Kurilsk,RU,2021-10-11 21:55:04,50.6789,156.125,46.04,85,95,34.29
5,Qaanaaq,GL,2021-10-11 21:55:05,77.484,-69.3632,30.54,97,100,8.3
6,Rikitea,PF,2021-10-11 21:55:06,-23.1203,-134.9692,74.23,77,90,13.24
7,Saskylakh,RU,2021-10-11 21:55:06,71.9167,114.0833,26.42,96,100,14.56
8,Were Ilu,ET,2021-10-11 21:55:07,10.6,39.4333,52.07,85,83,5.64
9,Ushuaia,AR,2021-10-11 21:54:44,-54.8,-68.3,51.46,46,40,17.27
10,Butaritari,KI,2021-10-11 21:55:08,3.0707,172.7902,81.05,73,80,10.45
11,Kodiak,US,2021-10-11 21:55:08,57.79,-152.4072,39.04,94,100,20.94
12,Atuona,PF,2021-10-11 21:55:09,-9.8,-139.0333,78.28,71,17,19.19
13,Port Macquarie,AU,2021-10-11 21:55:09,-31.4333,152.9167,58.89,100,90,5.75
14,Yellowknife,CA,2021-10-11 21:55:10,62.456,-114.3525,35.42,84,75,6.91
15,Goderich,CA,2021-10-11 21:55:10,43.7501,-81.7165,77.32,65,100,10.36
16,Forbes,AU,2021-10-11 21:55:11,-33.3833,148.0167,54.91,89,100,13.4
17,Marathon,US,2021-10-11 21:55:11,44.9,-89.7668,62.55,86,100,0.43
18,Fare,PF,2021-10-11 21:55:12,-16.7,-151.0167,79.9,78,20,15.43
19,Port Alfred,ZA,2021-10-11 21:55:12,-33.5906,26.891,68.5,64,68,0.54
20,San Patricio,US,2021-10-11 21:55:13,28.017,-97.5169,86.09,68,95,9.53
21,Hermanus,ZA,2021-10-11 21:55:13,-34.4187,19.2345,60.91,80,100,2.08
